clavesector,sector,claveinstitucion,nombreinstitucion,clavegrupo,nombregrupo
40,"BANCA MÚLTIPLE","040002","Banamex",59,"G-7"
40,"BANCA MÚLTIPLE","040012","BBVA México",59,"G-7"
40,"BANCA MÚLTIPLE","040014","Santander",59,"G-7"
40,"BANCA MÚLTIPLE","040021","HSBC",59,"G-7"
40,"BANCA MÚLTIPLE","040036","Inbursa",59,"G-7"
40,"BANCA MÚLTIPLE","040044","Scotiabank",59,"G-7"
40,"BANCA MÚLTIPLE","040072","Banorte",59,"G-7"
40,"BANCA MÚLTIPLE","040112","Monex",60,"Bancos Cambiarios"
40,"BANCA MÚLTIPLE","040136","Intercam Banco",60,"Bancos Cambiarios"
40,"BANCA MÚLTIPLE","040143","CIBanco",60,"Bancos Cambiarios"
40,"BANCA MÚLTIPLE","040145","Banco Base",60,"Bancos Cambiarios"
40,"BANCA MÚLTIPLE","040059","Invex",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040062","Afirme",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040103","American Express",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040106","Bank of America",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040108","MUFG Bank",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040110","J.P. Morgan",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040124","Deutsche Bank",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040126","Credit Suisse",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040129","Barclays",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040139","BIAfirme",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040148","Pagatodo",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040160","Banco S3",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040164","BNP Paribas México",61,"Inversión y servicios financieros"
40,"BANCA MÚLTIPLE","040030","Banco del Bajío",62,"Comercial Mediano"
40,"BANCA MÚLTIPLE","040042","Banca Mifel",62,"Comercial Mediano"
40,"BANCA MÚLTIPLE","040058","Banregio",62,"Comercial Mediano"
40,"BANCA MÚLTIPLE","040113","Ve por Más",62,"Comercial Mediano"
40,"BANCA MÚLTIPLE","040132","Multiva",62,"Comercial Mediano"
40,"BANCA MÚLTIPLE","040156","Sabadell",62,"Comercial Mediano"
40,"BANCA MÚLTIPLE","040060","Bansí",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040128","Autofin",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040133","Actinver",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040138","ABC Capital",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040147","Bankaool",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040150","Inmobiliario Mexicano",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040151","Dondé Banco",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040152","Bancrea",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040154","Covalto",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040155","ICBC",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040157","Shinhan",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040158","Mizuho Bank",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040159","Bank of China",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040162","KEB Hana México",63,"Comercial Pequeño"
40,"BANCA MÚLTIPLE","040127","Banco Azteca",64,"Créditos a los Hogares"
40,"BANCA MÚLTIPLE","040130","Compartamos",64,"Créditos a los Hogares"
40,"BANCA MÚLTIPLE","040137","BanCoppel",64,"Créditos a los Hogares"
40,"BANCA MÚLTIPLE","040140","Consubanco",64,"Créditos a los Hogares"
40,"BANCA MÚLTIPLE","040141","Volkswagen Bank",64,"Créditos a los Hogares"
40,"BANCA MÚLTIPLE","040149","Forjadores",64,"Créditos a los Hogares"
40,"BANCA MÚLTIPLE","5","Total Banca Múltiple"